Disease,Diet
Infeksi jamur,"Diet Antijamur, Probiotik, Bawang putih, Minyak kelapa, Kunyit"
Alergi,"Diet Eliminasi, Makanan kaya Omega-3, Makanan kaya Vitamin C, Makanan kaya Kuersetin, Probiotik"
GERD,"Diet Rendah Asam, Makanan kaya serat, Jahe, Akar manis, Jus lidah buaya"
Kolestasis Kronis,"Diet Rendah Lemak, Diet Tinggi Serat, Protein tanpa lemak, Biji-bijian utuh, Buah dan sayuran segar"
Reaksi Obat,"Diet Antihistamin, Makanan kaya Omega-3, Makanan kaya Vitamin C, Makanan kaya Kuersetin, Probiotik"
Penyakit tukak peptik,"Diet Rendah Asam, Makanan kaya serat, Jahe, Akar manis, Jus lidah buaya"
AIDS,"Diet Seimbang, Makanan kaya protein, Buah dan sayuran, Biji-bijian utuh, Lemak sehat"
Diabetes,"Diet Rendah Glikemik, Makanan kaya serat, Protein tanpa lemak, Lemak sehat, Produk susu rendah lemak"
Gastroenteritis,"Diet Bland, Pisang, Nasi, Saus apel, Roti panggang"
Asma Bronkial,"Diet Anti-Inflamasi, Makanan kaya Omega-3, Buah dan sayuran, Biji-bijian utuh, Protein tanpa lemak"
Hipertensi,"Diet DASH, Makanan rendah natrium, Buah dan sayuran, Biji-bijian utuh, Protein tanpa lemak"
Migrain,"Diet Migrain, Diet Rendah Tiamin, Penghentian kafein, Hidrasi, Makanan kaya magnesium"
Spondilosis Serviks,"Diet Artritis, Diet Anti-Inflamasi, Makanan kaya Omega-3, Buah dan sayuran, Biji-bijian utuh"
Paralisis (perdarahan otak),"Diet Jantung Sehat, Makanan rendah natrium, Buah dan sayuran, Biji-bijian utuh, Protein tanpa lemak"
Kuning,"Diet Sehat Hati, Diet Rendah Lemak, Buah dan sayuran, Biji-bijian utuh, Protein tanpa lemak"
Malaria,"Diet Malaria, Hidrasi, Diet Tinggi Kalori, Makanan lembut dan hambar, Solusi rehidrasi oral"
Cacar Air,"Diet Cacar Air, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Dengue,"Diet Dengue, Hidrasi, Diet Tinggi Kalori, Makanan lembut dan hambar, Makanan kaya protein"
Tifoid,"Diet Tifoid, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Hepatitis A,"Diet Hepatitis A, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Hepatitis B,"Diet Hepatitis B, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Hepatitis C,"Diet Hepatitis C, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Hepatitis D,"Diet Hepatitis D, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Hepatitis E,"Diet Hepatitis E, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Hepatitis Alkoholik,"Diet Sehat Hati, Diet Rendah Lemak, Buah dan sayuran, Biji-bijian utuh, Protein tanpa lemak"
Tuberkulosis,"Diet TB, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Flu Biasa,"Diet Flu, Hidrasi, Cairan hangat, Istirahat, Teh madu dan lemon"
Pneumonia,"Diet Pneumonia, Diet Tinggi Kalori, Makanan lembut dan hambar, Hidrasi, Makanan kaya protein"
Hemoroid Dimorfik (Wasir),"Diet Wasir, Diet Tinggi Serat, Hidrasi, Mandi air hangat, Pelunak tinja"
Serangan jantung,"Diet Jantung Sehat, Makanan rendah natrium, Buah dan sayuran, Biji-bijian utuh, Protein tanpa lemak"
Varises,"Diet Varises, Diet Tinggi Serat, Buah dan sayuran, Biji-bijian utuh, Makanan rendah natrium"
Hipotiroidisme,"Diet Hipotiroidisme, Makanan kaya yodium, Makanan kaya selenium, Buah dan sayuran, Biji-bijian utuh"
Hipertiroidisme,"Diet Hipertiroidisme, Diet Rendah Yodium, Makanan kaya kalsium, Makanan kaya selenium, Buah dan sayuran"
Hipoglikemia,"Diet Hipoglikemia, Karbohidrat kompleks, Camilan kaya protein, Makanan kaya serat, Lemak sehat"
Osteoartritis,"Diet Artritis, Diet Anti-Inflamasi, Makanan kaya Omega-3, Buah dan sayuran, Biji-bijian utuh"
Artritis,"Diet Artritis, Diet Anti-Inflamasi, Makanan kaya Omega-3, Buah dan sayuran, Biji-bijian utuh"
(Vertigo) Vertigo Posisi Paroksismal,"Diet Vertigo, Diet Rendah Garam, Hidrasi, Teh jahe, Makanan kaya Vitamin D"
Jerawat,"Diet Jerawat, Diet Rendah Glikemik, Hidrasi, Buah dan sayuran, Probiotik"
Infeksi saluran kemih,"Diet ISK, Hidrasi, Jus cranberry, Probiotik, Makanan kaya Vitamin C"
Psoriasis,"Diet Psoriasis, Diet Anti-Inflamasi, Makanan kaya Omega-3, Buah dan sayuran, Biji-bijian utuh"
Impetigo,"Diet Impetigo, Pengobatan antibiotik, Buah dan sayuran, Hidrasi, Makanan kaya protein"
