Disease,Medication
Infeksi jamur,"Krim Antijamur, Fluconazole, Terbinafine, Clotrimazole, Ketoconazole"
Alergi,"Antihistamin, Dekongestan, Epinefrin, Kortikosteroid, Imunoterapi"
GERD,"Proton Pump Inhibitors (PPIs), H2 Blockers, Antasida, Prokinetik, Antibiotik"
Kolestasis Kronis,"Asam Ursodeoksikolat, Kolestiramin, Metotreksat, Kortikosteroid, Transplantasi hati"
Reaksi Obat,"Antihistamin, Epinefrin, Kortikosteroid, Antibiotik, Krim Antijamur"
Penyakit tukak peptik,"Antibiotik, Proton Pump Inhibitors (PPIs), H2 Blockers, Antasida, Agen Sitoprotektif"
AIDS,"Obat Antiretroviral, Inhibitor Protease, Inhibitor Integrase, Inhibitor Masuk, Inhibitor Fusi"
Diabetes,"Insulin, Metformin, Sulfonilurea, DPP-4 inhibitors, Agonis reseptor GLP-1"
Gastroenteritis,"Antibiotik, Obat Antiemetik, Obat Antidiare, Cairan IV, Probiotik"
Asma Bronkial,"Bronkodilator, Kortikosteroid Inhalasi, Modifikator Leukotrien, Penstabil sel mast, Antikolinergik"
Hipertensi,"Obat Antihipertensi, Diuretik, Beta-blockers, ACE inhibitors, Calcium channel blockers"
Migrain,"Analgesik, Triptan, Derivat Ergotamin, Obat Pencegah, Biofeedback"
Spondilosis Serviks,"Pereda nyeri, Relaksan otot, Terapi fisik, Penyangga leher, Kortikosteroid"
Paralisis (perdarahan otak),"Pengencer darah, Obat pelarut bekuan, Antikonvulsan, Terapi fisik, Terapi okupasi"
Kuning,"Cairan IV, Transfusi darah, Transplantasi hati, Obat untuk gatal, Obat antivirus"
Malaria,"Obat Antimalaria, Antipiretik, Obat Antiemetik, Cairan IV, Transfusi darah"
Cacar Air,"Obat Antivirus, Pereda nyeri, Cairan IV, Transfusi darah, Transfusi trombosit"
Dengue,"Antibiotik, Antipiretik, Analgesik, Cairan IV, Kortikosteroid"
Tifoid,"Vaksinasi, Obat Antivirus, Cairan IV, Transfusi darah, Transplantasi hati"
Hepatitis A,"Vaksinasi, Obat Antivirus, Cairan IV, Transfusi darah, Transplantasi hati"
Hepatitis B,"Obat Antivirus, Cairan IV, Transfusi darah, Transfusi trombosit, Transplantasi hati"
Hepatitis C,"Obat Antivirus, Cairan IV, Transfusi darah, Transfusi trombosit, Transplantasi hati"
Hepatitis D,"Obat Antivirus, Cairan IV, Transfusi darah, Transfusi trombosit, Transplantasi hati"
Hepatitis E,"Penghentian alkohol, Kortikosteroid, Cairan IV, Transplantasi hati, Dukungan nutrisi"
Hepatitis Alkoholik,"Antibiotik, Isoniazid, Rifampin, Ethambutol, Pyrazinamide"
Tuberkulosis,"Antipiretik, Dekongestan, Penekan batuk, Antihistamin, Pereda nyeri"
Flu Biasa,"Antibiotik, Obat Antivirus, Obat Antijamur, Cairan IV, Terapi oksigen"
Pneumonia,"Laksatif, Pereda nyeri, Mandi air hangat, Kompres dingin, Diet tinggi serat"
Hemoroid Dimorfik (Wasir),"Nitrogliserin, Aspirin, Beta-blockers, Calcium channel blockers, Obat trombolitik"
Serangan jantung,"Stoking kompresi, Olahraga, Mengangkat kaki, Skleroterapi, Perawatan laser"
Varises,"Levothyroxine, Obat antitiroid, Beta-blockers, Iodine radioaktif, Operasi tiroid"
Hipotiroidisme,"Obat antitiroid, Iodine radioaktif, Operasi tiroid, Beta-blockers, Kortikosteroid"
Hipertiroidisme,"Tablet glukosa, Permen atau jus, Suntikan glukagon, Dextrose IV, Diazoxide"
Hipoglikemia,"Pereda nyeri, Olahraga, Paket panas dan dingin, Perlindungan sendi, Terapi fisik"
Osteoartritis,"NSAID, Obat antirematik pemodifikasi penyakit (DMARD), Biologis, Kortikosteroid, Operasi penggantian sendi"
Artritis,"Rehabilitasi vestibular, Reposisi kanalit, Obat untuk mual, Operasi, Latihan di rumah"
(Vertigo) Vertigo Posisi Paroksismal,"Perawatan topikal, Antibiotik, Obat oral, Perawatan hormonal, Isotretinoin"
Jerawat,"Antibiotik, Pereda nyeri, Antihistamin, Kortikosteroid, Perawatan topikal"
Infeksi saluran kemih,"Antibiotik, Analgesik urin, Fenazopiridin, Antispasmodik, Probiotik"
Psoriasis,"Perawatan topikal, Fototerapi, Obat sistemik, Biologis, Tar batubara"
Impetigo,"Antibiotik topikal, Antibiotik oral, Antiseptik, Salep, Kompres hangat"
